event_id,station,network,location,channel,p_polarity
bmg2026gkek,AAI,IA,--,HNZ,-1
bmg2026gkek,ABJI,IA,--,HNZ,1
bmg2026gkek,AMPM,IA,--,HNZ,1
bmg2026gkek,ANAPI,IA,--,HNZ,1
bmg2026gkek,APSI,IA,--,HNZ,-1
bmg2026gkek,ARKPI,IA,--,HNZ,-1
bmg2026gkek,ARPI,IA,00,HNZ,-1
bmg2026gkek,ARSKI,IA,--,HNZ,-1
bmg2026gkek,ASTTI,IA,--,HNZ,1
bmg2026gkek,ATKTI,IA,--,HNZ,-1
bmg2026gkek,BAJI,IA,--,HNZ,1
bmg2026gkek,BBCM,IA,00,HNZ,1
bmg2026gkek,BBKI,IA,00,HNZ,1
bmg2026gkek,BBLSI,IA,--,HNZ,1
bmg2026gkek,BBSI,IA,--,HNZ,1
bmg2026gkek,BDBI,IA,--,HNZ,1
bmg2026gkek,BDCM,IA,00,HNZ,-1
bmg2026gkek,BGCM,IA,00,HNZ,-1
bmg2026gkek,BHCM,IA,00,HNZ,-1
bmg2026gkek,BKB,IA,--,HNZ,1
bmg2026gkek,BKSI,IA,--,HNZ,1
bmg2026gkek,BLCM,IA,00,HNZ,-1
bmg2026gkek,BLJI,IA,--,HNZ,-1
bmg2026gkek,BNSI,IA,--,HNZ,-1
bmg2026gkek,BSMI,IA,--,HNZ,1
bmg2026gkek,BTCM,IA,00,HNZ,-1
bmg2026gkek,BUBSI,IA,--,HNZ,1
bmg2026gkek,BUKI,IA,--,HNZ,-1
bmg2026gkek,BUMSI,IA,--,HNZ,1
bmg2026gkek,BWJI,IA,--,HNZ,-1
bmg2026gkek,BYLI,IA,00,HNZ,1
bmg2026gkek,DBKI,IA,00,HNZ,-1
bmg2026gkek,DBNI,IA,00,HNZ,-1
bmg2026gkek,DOCM,IA,00,HNZ,-1
bmg2026gkek,EDMPI,IA,--,HNZ,-1
bmg2026gkek,ESNI,IA,--,HNZ,-1
bmg2026gkek,FKSPI,IA,--,HNZ,-1
bmg2026gkek,GARPI,IA,--,HNZ,-1
bmg2026gkek,GEBBI,IA,--,HNZ,1
bmg2026gkek,GHMI,IA,00,HNZ,1
bmg2026gkek,GMJI,IA,00,HNZ,-1
bmg2026gkek,GRJI,IA,--,HNZ,1
bmg2026gkek,IGBI,IA,00,HNZ,1
bmg2026gkek,KABKI,IA,00,HNZ,1
