station,network,location,channel,latitude,longitude,elevation
LBMI,IA,00,HNZ,-0.6379,127.5008,113.91
GHMI,IA,00,HNZ,-0.35629,127.8797,37.0
KMSI,IA,--,HNZ,0.5745,123.98,218.0
MGAI,IA,--,HNZ,4.0079,126.67,91.0
OBMI,IA,--,HNZ,-1.3413,127.6444,110.89
TGCM,IA,00,HNZ,0.5201,123.0778,163.0
KGCM,IA,00,HNZ,0.639702,122.851648,32.0
MUMUI,IA,--,HNZ,-1.785,125.481,11.0
BBLSI,IA,--,HNZ,-1.637539,123.52168,142.0
TBMUI,IA,--,HNZ,-1.9,124.344,8.0
GARPI,IA,--,HNZ,-0.43465,129.9,49.0
MISSI,IA,--,HNZ,5.552612,126.58147,11.0
MRSI,IA,--,HNZ,0.4771,121.9406,99.0
KORPI,IA,--,HNZ,-1.158,129.845,11.0
BUBSI,IA,--,HNZ,-0.855,122.207,39.0
UTUSI,IA,--,HNZ,-0.427364,121.860561,76.0
NLAI,IA,00,HNZ,-3.239,127.0998,101.92
TOBSI,IA,--,HNZ,-1.446,122.25,43.0
TTSMI,IA,--,HNZ,-2.864,128.727,11.0
NSBMM,IA,--,HNZ,-3.0828917,128.2096033,86.0
KARPI,IA,--,HNZ,-0.061,130.991,21.0
NBMI,IA,00,HNZ,-3.8509,126.6995,59.0
APSI,IA,--,HNZ,-0.9108,121.6487,143.5
TPCI,IA,00,HNZ,0.467467,121.099286,13.0
AAI,IA,--,HNZ,-3.6871,128.1943,157.2
MBRPI,IA,--,HNZ,-1.771,130.407,2.0
TMTMM,IA,--,HNZ,-3.2979,129.53,90.0
BTCM,IA,00,HNZ,-2.4768,121.9241,21.0
BHCM,IA,00,HNZ,-2.7965,122.1259,11.0
TOTSI,IA,--,HNZ,-1.15292,121.28416,24.0
WMCM,IA,00,HNZ,-2.2162,121.622,7.0
BUMSI,IA,--,HNZ,-1.977807,121.334629,121.0
WSTMM,IA,--,HNZ,-3.45296,129.995,86.0
LKUCM,IA,--,HNZ,-3.2924,122.2332,107.0
WTKSI,IA,--,HNZ,-4.03,123.22,21.0
POCI,IA,00,HNZ,-1.420317,120.656954,10.0
BSMI,IA,--,HNZ,-3.1075,130.4939,104.0
SAPSI,IA,--,HNZ,-1.0,120.464,25.0
TOCM,IA,00,HNZ,-2.647398,121.408032,342.0
TIPSI,IA,--,HNZ,0.489,120.419,41.0
FKSPI,IA,--,HNZ,-1.1594,132.016,139.0
PUPSI,IA,--,HNZ,-1.733,120.676,670.0
MPSI,IA,--,HNZ,0.3374,119.898,174.0
MTCM,IA,00,HNZ,-2.573883,121.054464,21.0
PICM,IA,00,HNZ,-0.710997,120.088757,40.0
TSPI,IA,00,HNZ,-1.4733,132.0898,62.0
BGCM,IA,00,HNZ,-0.049644,119.880075,18.0
LUCM,IA,00,HNZ,-1.4262,120.3225,1102.0
SRSI,IA,--,HNZ,-2.531554,120.877791,36.0
UKCM,IA,--,HNZ,-3.857,122.0431,122.0
TLCM,IA,00,HNZ,-2.50925,120.79436,86.0
BLCM,IA,00,HNZ,-0.122934,119.687071,11.0
SDCI,IA,00,HNZ,-0.494155,119.768722,27.0
AMPM,IA,--,HNZ,-1.2674,132.491,517.0
DOCM,IA,00,HNZ,-0.675868,119.74873,50.0
