event_id,sta_code,p_polarity,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,sp_ratio,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km,event_mag,station_lat,station_lon,station_depth_km,pol_agreement,mech_quality,pol_agreement_weighted
bmg2026gkek,IA.AAI.--.HNZ,-1.0,597.999,103.0,158.7,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-3.6871,128.1943,-0.15719999999999998,1.0,D,1.0
bmg2026gkek,IA.APSI.--.HNZ,-1.0,567.604,103.0,244.0,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-0.9108,121.6487,-0.1435,1.0,D,1.0
bmg2026gkek,IA.BBLSI.--.HNZ,1.0,446.844,103.0,222.5,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-1.637539,123.52168,-0.142,1.0,D,1.0
bmg2026gkek,IA.BHCM.00.HNZ,-1.0,647.286,103.0,225.0,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-2.7965,122.1259,-0.011,0.0,D,0.0
bmg2026gkek,IA.BSMI.--.HNZ,1.0,682.94,103.0,136.2,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-3.1075,130.4939,-0.104,0.0,D,0.0
bmg2026gkek,IA.BTCM.00.HNZ,-1.0,639.292,103.0,228.6,5.8,0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-2.4768,121.9241,-0.021,0.0,D,0.0
bmg2026gkek,IA.BUBSI.--.HNZ,1.0,509.538,103.0,241.6,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-0.855,122.207,-0.039,1.0,D,1.0
bmg2026gkek,IA.BUMSI.--.HNZ,1.0,657.309,103.0,236.1,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-1.977807,121.334629,-0.121,1.0,D,1.0
bmg2026gkek,IA.FKSPI.--.HNZ,-1.0,698.983,103.0,113.3,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-1.1594,132.016,-0.139,1.0,D,1.0
bmg2026gkek,IA.GARPI.--.HNZ,-1.0,451.434,103.0,115.7,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-0.43465,129.9,-0.049,1.0,D,1.0
bmg2026gkek,IA.GHMI.00.HNZ,1.0,260.987,103.0,135.7,5.8,-0.0,trad_p,,1.322945,126.239563,33.0,2.0,2.0,7.21003,-0.35629,127.8797,-0.037,0.0,D,0.0
